"id","ticker","period_ending","quarter","total_revenue","cost_of_revenue","gross_profit","operating_expense","operating_income","net_income","basic_eps","diluted_eps","ebitda","created_at"
87,"DIS","2024-09-30","2024-Q3","22574000000","14230000000","8344000000","5599000000","2745000000","460000000","0.2500","0.2500","2765000000","2025-08-17 07:23:56.636155"
88,"DIS","2024-06-30","2024-Q2","23155000000","14709000000","8446000000","5092000000","3354000000","2621000000","1.4400","1.4300","4822000000","2025-08-17 07:23:56.646037"
89,"DIS","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:56.658432"
90,"DIS","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:56.671267"
91,"HD","2025-04-30","2025-Q2","39856000000","26397000000","13459000000","8326000000","5133000000","3433000000","3.4600","3.4500","6151000000","2025-08-17 07:23:59.611378"
92,"HD","2025-01-31","2025-Q1","39704000000","26670000000","13034000000","8539000000","4495000000","2997000000",NULL,NULL,"5534000000","2025-08-17 07:23:59.641224"
93,"HD","2024-10-31","2024-Q4","40217000000","26792000000","13425000000","8007000000","5418000000","3648000000","3.6800","3.6700","6443000000","2025-08-17 07:23:59.651042"
94,"HD","2024-07-31","2024-Q3","43175000000","28759000000","14416000000","7882000000","6534000000","4561000000","4.6100","4.6000","7538000000","2025-08-17 07:23:59.664297"
95,"HD","2024-04-30","2024-Q2","36418000000","23985000000","12433000000","7354000000","5079000000","3600000000","3.6400","3.6300","5973000000","2025-08-17 07:23:59.677266"
96,"HD","2024-01-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,"2.8300","2.8200",NULL,"2025-08-17 07:23:59.690874"
97,"PYPL","2025-06-30","2025-Q2","8288000000","4444000000","3844000000","2224000000","1620000000","1261000000","1.3000","1.2900","1882000000","2025-08-17 07:24:02.706212"
98,"PYPL","2025-03-31","2025-Q1","7791000000","4075000000","3716000000","2120000000","1596000000","1287000000","1.3100","1.2900","1951000000","2025-08-17 07:24:02.737594"
99,"PYPL","2024-12-31","2024-Q4","8366000000","4431000000","3935000000","2444000000","1491000000","1121000000","1.1200","1.1100","1756000000","2025-08-17 07:24:02.755116"
100,"PYPL","2024-09-30","2024-Q3","7847000000","4193000000","3654000000","2200000000","1454000000","1010000000","1.0000","0.9900","1672000000","2025-08-17 07:24:02.772865"
